Date,ppm
3/29/1958,316.19
4/5/1958,317.31
4/12/1958,317.69
4/19/1958,317.58
4/26/1958,316.48
5/3/1958,316.95
5/17/1958,317.56
5/24/1958,317.99
7/5/1958,315.85
7/12/1958,315.85
7/19/1958,315.46
7/26/1958,315.59
8/2/1958,315.64
8/9/1958,315.1
8/16/1958,315.09
8/30/1958,314.14
9/6/1958,313.54
11/8/1958,313.05
11/15/1958,313.26
11/22/1958,313.57
11/29/1958,314.01
12/6/1958,314.56
12/13/1958,314.41
12/20/1958,314.77
12/27/1958,315.21
1/3/1959,315.24
1/10/1959,315.5
1/17/1959,315.69
1/24/1959,315.86
1/31/1959,315.42
2/14/1959,316.94
2/21/1959,316.61
2/28/1959,316.62
3/7/1959,316.81
3/21/1959,316.73
3/28/1959,316.71
4/4/1959,317.72
4/11/1959,317.12
4/18/1959,317.64
4/25/1959,318.32
5/2/1959,318.27
5/9/1959,318.78
5/16/1959,318.05
5/23/1959,318.43
6/6/1959,318.53
6/13/1959,318.14
6/20/1959,317.88
6/27/1959,317.76
7/4/1959,316.86
7/11/1959,316.83
7/18/1959,316.45
7/25/1959,316.16
8/1/1959,315.62
8/8/1959,314.91
8/22/1959,315
8/29/1959,314.15
9/5/1959,314.45
9/12/1959,313.93
9/19/1959,313.57
9/26/1959,313.54
10/3/1959,313.04
10/10/1959,313.15
10/17/1959,313.43
10/24/1959,313.46
10/31/1959,314.12
11/7/1959,314.42
11/14/1959,314.88
11/21/1959,315.2
11/28/1959,315.11
12/5/1959,315.06
12/12/1959,315.64
12/19/1959,315.86
12/26/1959,315.77
1/2/1960,315.72
1/9/1960,316.4
1/16/1960,316.73
1/23/1960,316.57
1/30/1960,316.68
2/6/1960,316.61
2/13/1960,316.98
2/20/1960,317.42
2/27/1960,317
3/5/1960,316.96
3/12/1960,317.76
3/19/1960,318.07
3/26/1960,317.77
4/2/1960,318.61
4/9/1960,319.34
4/16/1960,319.01
4/23/1960,319.03
4/30/1960,319.77
5/7/1960,319.96
5/14/1960,319.82
5/21/1960,320.04
5/28/1960,320.06
6/4/1960,319.46
6/11/1960,320.08
6/18/1960,319.42
6/25/1960,319.09
7/2/1960,318.18
7/9/1960,318.64
7/16/1960,318.41
7/23/1960,317.91
7/30/1960,317.33
8/6/1960,316.62
8/13/1960,316.7
8/20/1960,315.1
8/27/1960,314.78
9/3/1960,314.72
9/10/1960,314.58
9/17/1960,314.28
9/24/1960,313.33
10/1/1960,313.66
10/8/1960,313.32
10/15/1960,313.92
10/22/1960,314.21
10/29/1960,314.29
11/5/1960,314.5
11/12/1960,315.1
11/19/1960,315.1
11/26/1960,315.41
12/3/1960,315.84
12/10/1960,316.07
12/17/1960,316.21
12/24/1960,316.4
12/31/1960,316.67
1/7/1961,316.73
1/14/1961,317.02
1/21/1961,317.03
1/28/1961,317.01
2/4/1961,317.06
2/11/1961,317.75
2/18/1961,317.94
2/25/1961,318
3/4/1961,318.04
3/11/1961,318.51
3/18/1961,318.92
3/25/1961,318.71
4/1/1961,319.41
4/8/1961,319.55
4/15/1961,318.9
4/22/1961,319.74
4/29/1961,319.67
5/6/1961,320.67
5/13/1961,320.46
5/20/1961,320.61
5/27/1961,320.36
6/3/1961,320.09
6/10/1961,320.02
6/17/1961,319.62
6/24/1961,319.49
7/1/1961,319.26
7/8/1961,319.07
7/15/1961,318.49
7/22/1961,317.16
7/29/1961,317.97
8/5/1961,317.91
8/12/1961,317.33
8/19/1961,316.76
8/26/1961,315.26
9/2/1961,315.28
9/9/1961,314.97
9/16/1961,314.53
9/23/1961,315.06
9/30/1961,315.61
10/7/1961,314.97
10/14/1961,315.43
10/21/1961,315.48
10/28/1961,315.72
11/4/1961,315.82
11/11/1961,315.7
11/18/1961,316.21
11/25/1961,316.55
12/2/1961,316.52
12/9/1961,317.02
12/16/1961,316.94
12/23/1961,317.18
12/30/1961,317.46
1/6/1962,317.99
1/13/1962,318.12
1/20/1962,318.07
1/27/1962,317.78
2/3/1962,318.08
2/10/1962,318.35
2/17/1962,318.92
2/24/1962,319.38
3/3/1962,319.28
3/10/1962,319.46
3/17/1962,319.95
3/24/1962,319.78
3/31/1962,320.27
4/7/1962,320.26
4/14/1962,321.03
4/21/1962,320.78
4/28/1962,320.36
5/5/1962,320.89
5/12/1962,320.78
5/19/1962,321.05
5/26/1962,321.16
6/2/1962,320.91
6/9/1962,320.87
6/16/1962,320.52
6/23/1962,320.15
6/30/1962,320.23
7/7/1962,320.1
7/14/1962,319.95
7/21/1962,319.01
7/28/1962,318.75
8/4/1962,318.68
8/11/1962,317.24
8/18/1962,317.48
9/15/1962,316.65
9/22/1962,315.72
9/29/1962,315.92
10/6/1962,315.1
10/13/1962,315.4
10/20/1962,315.72
10/27/1962,315.78
11/3/1962,315.94
11/10/1962,316.49
11/17/1962,316.92
11/24/1962,317.08
12/1/1962,317.19
12/8/1962,317.31
12/15/1962,317.66
12/22/1962,318.18
1/5/1963,318.54
1/12/1963,318.73
1/19/1963,318.9
1/26/1963,318.82
2/2/1963,318.77
2/9/1963,318.95
2/23/1963,319.37
3/2/1963,319.35
3/9/1963,319.7
3/16/1963,319.8
3/23/1963,320.34
3/30/1963,320.29
4/6/1963,320.38
4/13/1963,320.96
4/20/1963,322.05
4/27/1963,321.92
5/11/1963,321.97
5/18/1963,322.28
5/25/1963,322.27
6/1/1963,322.32
6/8/1963,322.09
6/15/1963,321.83
6/22/1963,320.88
6/29/1963,320.49
7/6/1963,320.12
7/13/1963,319.82
7/20/1963,319.56
7/27/1963,319.06
8/3/1963,318.6
8/10/1963,318.27
8/17/1963,317.73
8/24/1963,317.12
8/31/1963,316.44
9/7/1963,316.81
9/14/1963,315.99
9/21/1963,316.03
9/28/1963,315.93
10/5/1963,316.28
10/12/1963,315.65
10/19/1963,316.14
10/26/1963,316.36
11/2/1963,316.63
11/9/1963,316.83
11/16/1963,317.13
11/30/1963,317.56
12/7/1963,318.07
12/14/1963,318.27
12/21/1963,318.59
12/28/1963,318.74
1/4/1964,319.04
1/11/1964,319.49
1/18/1964,319.88
5/30/1964,322.07
6/6/1964,322.06
6/27/1964,321.57
7/4/1964,321.14
7/11/1964,319.95
7/18/1964,320.28
7/25/1964,320.02
8/1/1964,319.14
8/15/1964,318.61
8/22/1964,318.23
8/29/1964,318.11
9/5/1964,317.48
9/12/1964,316.57
9/19/1964,315.59
9/26/1964,317.01
10/3/1964,316.93
10/10/1964,316.51
10/17/1964,316.86
10/24/1964,317.05
10/31/1964,317.65
11/7/1964,317.77
11/14/1964,317.65
11/21/1964,317.52
11/28/1964,318.11
12/5/1964,318.42
12/12/1964,318.58
12/19/1964,318.93
12/26/1964,318.91
1/2/1965,319.08
1/9/1965,319.17
1/16/1965,319.16
1/23/1965,319.79
1/30/1965,320.12
2/6/1965,320.2
2/13/1965,320.16
2/20/1965,320.7
2/27/1965,320.89
3/6/1965,321.07
3/13/1965,320.98
3/20/1965,320.49
3/27/1965,321.4
4/3/1965,321.95
4/10/1965,322.27
4/17/1965,322.17
4/24/1965,321.86
5/1/1965,322.46
5/8/1965,322.22
5/15/1965,321.94
5/22/1965,321.69
5/29/1965,322.26
6/5/1965,321.87
6/12/1965,321.77
6/19/1965,321.77
6/26/1965,321.99
7/3/1965,321.97
7/10/1965,321.85
7/17/1965,321.76
7/24/1965,320.47
7/31/1965,319.49
8/7/1965,319.47
8/14/1965,318.02
8/21/1965,318.82
8/28/1965,318.73
9/4/1965,318.39
9/11/1965,318.05
9/18/1965,318.26
9/25/1965,316.85
10/2/1965,316.6
10/9/1965,317.26
10/16/1965,317.86
10/23/1965,317.56
10/30/1965,317.63
11/6/1965,318.3
11/13/1965,319.26
11/20/1965,318.99
11/27/1965,319.17
12/4/1965,319.09
12/11/1965,319.37
12/18/1965,319.39
12/25/1965,319.7
1/1/1966,319.69
1/8/1966,320.49
1/15/1966,320.63
1/22/1966,321.09
1/29/1966,321.16
2/5/1966,321.26
2/12/1966,321.75
2/19/1966,321.67
2/26/1966,321.8
3/5/1966,322.1
3/12/1966,322.14
3/19/1966,322.57
3/26/1966,322.86
4/2/1966,323.55
4/9/1966,323.62
4/16/1966,323.88
4/23/1966,323.91
4/30/1966,323.53
5/7/1966,324
5/14/1966,324.1
5/21/1966,323.72
5/28/1966,324.31
6/4/1966,324.02
6/11/1966,323.88
6/18/1966,323.75
6/25/1966,323.32
7/2/1966,322.82
7/9/1966,322.9
8/6/1966,321.31
8/13/1966,320.85
8/20/1966,319.16
8/27/1966,319.64
9/3/1966,319.94
9/10/1966,318.22
9/17/1966,318.46
9/24/1966,318.31
10/1/1966,317.9
10/8/1966,317.9
10/15/1966,318.21
10/22/1966,318.61
10/29/1966,318.39
11/12/1966,319.59
11/19/1966,320.03
11/26/1966,320.24
12/3/1966,320.8
12/10/1966,320.87
12/17/1966,321.16
12/24/1966,321.31
12/31/1966,321.37
1/7/1967,321.92
1/14/1967,322.93
2/4/1967,322.19
2/11/1967,322.23
2/18/1967,322.86
2/25/1967,322.6
3/4/1967,322.94
3/11/1967,322.6
3/18/1967,323.33
3/25/1967,323.24
4/1/1967,323.15
4/8/1967,324.21
4/15/1967,324.41
4/22/1967,324.6
4/29/1967,325.16
5/6/1967,325.26
5/13/1967,324.78
5/20/1967,325.09
5/27/1967,324.94
6/3/1967,324.95
6/10/1967,324.65
6/17/1967,323.31
6/24/1967,323.5
7/1/1967,322.89
7/8/1967,322.85
7/15/1967,322.45
7/22/1967,322.4
7/29/1967,322.04
8/5/1967,321.65
8/12/1967,321.4
8/19/1967,320.48
8/26/1967,320.01
9/2/1967,320.07
9/9/1967,319.43
9/16/1967,319.35
9/23/1967,319.03
9/30/1967,318.81
10/7/1967,318.88
10/14/1967,319.86
10/21/1967,319.47
10/28/1967,319.86
11/4/1967,320.01
11/11/1967,320.34
11/18/1967,320.91
11/25/1967,321.54
12/2/1967,321.4
12/9/1967,321.89
12/16/1967,322.29
12/23/1967,321.98
12/30/1967,322.3
1/6/1968,322.46
1/13/1968,322.5
1/20/1968,322.59
1/27/1968,322.83
2/3/1968,322.66
2/10/1968,323.17
2/17/1968,323.46
2/24/1968,323.18
3/2/1968,323.15
3/9/1968,323.85
3/16/1968,323.85
3/23/1968,324.21
3/30/1968,324.77
4/6/1968,324.79
4/13/1968,325.04
4/20/1968,324.84
4/27/1968,325.45
5/4/1968,325.63
5/11/1968,325.09
5/18/1968,325.52
5/25/1968,325.86
6/1/1968,325.67
6/8/1968,325.71
6/15/1968,325.56
6/22/1968,324.99
6/29/1968,324.63
7/6/1968,324.7
7/13/1968,324.13
7/20/1968,323.94
7/27/1968,323.4
8/3/1968,322.49
8/10/1968,322.27
8/17/1968,322.02
8/24/1968,321.74
8/31/1968,321.42
9/7/1968,320.44
9/14/1968,321.18
9/21/1968,319.78
9/28/1968,319.89
10/5/1968,320.57
10/12/1968,320.52
10/19/1968,320.26
10/26/1968,319.92
11/2/1968,320.7
11/9/1968,320.89
11/16/1968,321.4
11/23/1968,321.78
11/30/1968,322.06
12/7/1968,322.44
12/14/1968,322.91
12/21/1968,323.33
12/28/1968,323.19
1/4/1969,323.39
1/11/1969,324.06
1/18/1969,324.36
1/25/1969,324.14
2/1/1969,324.16
2/8/1969,323.92
2/15/1969,324.37
2/22/1969,324.86
3/1/1969,325.14
3/8/1969,325.58
3/15/1969,325.72
3/22/1969,325.96
3/29/1969,325.89
4/5/1969,326.27
4/12/1969,327.13
4/19/1969,326.58
4/26/1969,326.57
5/3/1969,327.52
5/10/1969,327.82
5/17/1969,326.86
5/24/1969,326.92
5/31/1969,327.43
6/7/1969,326.51
6/14/1969,326.78
6/21/1969,326.73
6/28/1969,326.37
7/5/1969,326.16
7/12/1969,326.07
7/19/1969,325.72
7/26/1969,325.47
8/2/1969,324.5
8/9/1969,324.56
8/16/1969,323.14
8/23/1969,322.56
8/30/1969,323.14
9/6/1969,322.21
9/13/1969,322.79
9/20/1969,322.84
9/27/1969,321.96
10/4/1969,321.5
10/11/1969,321.82
10/18/1969,322
10/25/1969,321.93
11/1/1969,322.21
11/8/1969,322.64
11/15/1969,322.78
11/22/1969,323.1
11/29/1969,323.52
12/6/1969,323.91
12/13/1969,323.99
12/20/1969,324.22
12/27/1969,324.5
1/3/1970,324.7
1/10/1970,325.4
1/17/1970,325.05
1/24/1970,324.8
1/31/1970,325.55
2/7/1970,325.7
2/14/1970,326.02
2/21/1970,326.32
2/28/1970,326.17
3/7/1970,326.85
3/14/1970,326.8
3/21/1970,327.51
3/28/1970,326.95
4/4/1970,328.2
4/11/1970,327.84
4/18/1970,327.81
4/25/1970,328.55
5/2/1970,327.99
5/9/1970,327.56
5/16/1970,328.03
5/23/1970,328.33
5/30/1970,327.98
6/6/1970,327.55
6/13/1970,327.86
6/20/1970,327.71
6/27/1970,327.23
7/4/1970,327.29
7/11/1970,326.24
7/18/1970,326.28
7/25/1970,325.63
8/1/1970,325.24
8/8/1970,325.21
8/15/1970,324.86
8/22/1970,324.84
8/29/1970,323.33
9/5/1970,322.97
9/12/1970,323.58
9/19/1970,323.18
9/26/1970,323.15
10/3/1970,323.21
10/10/1970,323.56
10/17/1970,322.92
10/24/1970,323.02
10/31/1970,323.18
11/7/1970,323.69
11/14/1970,323.76
11/21/1970,324.23
11/28/1970,324.71
12/5/1970,324.73
12/12/1970,325
12/19/1970,325.29
12/26/1970,325.58
1/2/1971,325.77
1/9/1971,325.89
1/16/1971,325.9
1/23/1971,326.72
1/30/1971,326.68
2/6/1971,326.55
2/13/1971,326.49
2/20/1971,326.79
2/27/1971,327.05
3/6/1971,327.15
3/13/1971,327.34
3/20/1971,327.08
3/27/1971,327.45
4/3/1971,327.44
4/10/1971,327.1
4/17/1971,327.71
4/24/1971,328.56
5/1/1971,328.2
5/8/1971,329.07
5/15/1971,329.28
5/22/1971,328.92
5/29/1971,328.81
6/5/1971,328.56
6/12/1971,328.8
6/19/1971,328.18
6/26/1971,328.52
7/3/1971,327.92
7/10/1971,327.88
7/17/1971,327.55
7/24/1971,326.21
7/31/1971,326.74
8/7/1971,326.12
8/14/1971,325.61
8/21/1971,325.39
8/28/1971,324.04
9/4/1971,323.65
9/11/1971,323.51
9/18/1971,323.26
9/25/1971,323.3
10/2/1971,323.32
10/9/1971,322.95
10/16/1971,323.52
10/23/1971,323.69
10/30/1971,324.4
11/6/1971,324.36
11/13/1971,324.53
11/20/1971,325.04
11/27/1971,325.51
12/4/1971,325.38
12/11/1971,325.93
12/18/1971,326.28
12/25/1971,326.35
1/1/1972,326.61
1/8/1972,326.67
1/15/1972,326.62
1/22/1972,326.68
1/29/1972,327.24
2/5/1972,327.4
2/12/1972,327.95
2/19/1972,327.83
2/26/1972,327.42
3/4/1972,327.58
3/11/1972,327.16
3/18/1972,327.78
3/25/1972,328.62
4/1/1972,328.97
4/8/1972,329.47
4/15/1972,329.83
4/22/1972,330.13
4/29/1972,330.02
5/6/1972,330.04
5/13/1972,329.75
5/20/1972,330.11
5/27/1972,330.21
6/3/1972,329.71
6/10/1972,329.15
6/17/1972,329.04
6/24/1972,328.52
7/1/1972,328.63
7/8/1972,328.31
7/15/1972,327.72
7/22/1972,328.14
7/29/1972,327.51
8/5/1972,326.92
8/12/1972,326.66
8/19/1972,326.57
8/26/1972,325.05
9/2/1972,325.4
9/9/1972,325.77
9/16/1972,324.81
9/23/1972,324.26
9/30/1972,324.23
10/7/1972,324.88
10/14/1972,325.52
10/21/1972,325.11
10/28/1972,325.86
11/4/1972,326.33
11/11/1972,326.13
11/18/1972,326.44
11/25/1972,326.98
12/2/1972,326.94
12/9/1972,327.17
12/16/1972,327.6
12/23/1972,327.91
12/30/1972,328.26
1/6/1973,328.4
1/13/1973,328.44
1/20/1973,328.66
1/27/1973,328.86
2/3/1973,329.19
2/10/1973,329.54
2/17/1973,329.68
2/24/1973,329.7
3/3/1973,329.95
3/10/1973,330.11
3/17/1973,330.55
3/24/1973,330.84
3/31/1973,330.69
4/7/1973,331.23
4/14/1973,331.1
4/21/1973,331.94
4/28/1973,332.16
5/5/1973,332.21
5/12/1973,332.35
5/19/1973,332.63
5/26/1973,332.58
6/2/1973,332.27
6/9/1973,332.58
6/16/1973,332.03
6/23/1973,331.63
6/30/1973,331.43
7/7/1973,331.54
7/14/1973,331.07
7/21/1973,330.08
7/28/1973,330.13
8/4/1973,330.05
8/11/1973,329.54
8/18/1973,329.36
8/25/1973,328.53
9/1/1973,328.46
9/8/1973,327.65
9/15/1973,327.81
9/22/1973,327.11
9/29/1973,326.61
10/6/1973,327.06
10/13/1973,327.41
10/20/1973,327.48
10/27/1973,327.19
11/3/1973,327.6
11/10/1973,328.02
11/17/1973,328.2
11/24/1973,328.57
12/1/1973,329.06
12/8/1973,328.71
12/15/1973,328.66
12/22/1973,328.25
12/29/1973,328.71
1/5/1974,328.92
1/12/1974,329.29
1/19/1974,329.42
1/26/1974,329.85
2/2/1974,330.54
2/9/1974,330.81
2/16/1974,330.62
2/23/1974,330.69
3/2/1974,330.8
3/9/1974,331.21
3/16/1974,332.12
3/23/1974,332
3/30/1974,331.57
4/6/1974,332.48
4/13/1974,332.15
4/20/1974,332.93
4/27/1974,333.17
5/4/1974,332.95
5/11/1974,333.09
5/18/1974,333.28
5/25/1974,332.88
6/1/1974,332.94
6/8/1974,332.04
6/15/1974,332.04
6/22/1974,332.27
6/29/1974,331.74
7/6/1974,331.74
7/13/1974,331.3
7/20/1974,330.48
7/27/1974,331.02
8/3/1974,330.1
8/10/1974,329.93
8/17/1974,329.3
8/24/1974,328.97
8/31/1974,328.19
9/7/1974,328.04
9/14/1974,327.36
9/21/1974,326.92
9/28/1974,327.39
10/5/1974,327.4
10/12/1974,327.07
10/19/1974,327.57
10/26/1974,327.71
11/2/1974,328
11/9/1974,328.1
11/16/1974,328.83
11/23/1974,328.65
11/30/1974,328.76
12/7/1974,329.51
12/14/1974,329.73
12/21/1974,329.83
12/28/1974,329.79
1/4/1975,329.94
1/11/1975,329.83
1/18/1975,330.28
1/25/1975,331.14
2/1/1975,331.19
2/8/1975,331.48
2/15/1975,331.01
2/22/1975,331.73
3/1/1975,331.89
3/8/1975,331.62
3/15/1975,331.97
3/22/1975,332.28
3/29/1975,332.59
4/5/1975,333.04
4/12/1975,333.59
4/19/1975,333.55
4/26/1975,333.14
5/3/1975,333.95
5/10/1975,333.94
5/17/1975,333.77
5/24/1975,333.74
5/31/1975,334.14
6/7/1975,333.88
6/14/1975,333.39
6/21/1975,333.46
6/28/1975,333.2
7/5/1975,332.72
7/12/1975,332.06
7/19/1975,331.06
7/26/1975,331.58
8/2/1975,330.84
8/9/1975,330.71
8/16/1975,330.36
8/23/1975,329.31
8/30/1975,328.89
9/6/1975,329.46
9/13/1975,328.53
9/20/1975,328.1
9/27/1975,328.29
10/4/1975,328.04
10/11/1975,328.06
10/18/1975,328.58
10/25/1975,328.82
11/1/1975,329.36
11/8/1975,329.21
11/15/1975,329.18
11/22/1975,329.55
11/29/1975,330.15
12/6/1975,330.36
12/13/1975,330.55
12/20/1975,331.14
12/27/1975,331.3
1/3/1976,331.58
1/10/1976,331.52
1/17/1976,331.75
1/24/1976,331.88
1/31/1976,332.29
2/7/1976,332.2
2/14/1976,332.53
2/21/1976,333.27
2/28/1976,332.49
3/6/1976,332.82
3/13/1976,333.61
3/20/1976,333.15
3/27/1976,334.4
4/3/1976,334.74
4/10/1976,334.27
4/17/1976,334.43
4/24/1976,334.55
5/1/1976,334.75
5/8/1976,334.34
5/15/1976,334.61
5/22/1976,335.44
5/29/1976,334.88
6/5/1976,334.37
6/12/1976,334.64
6/19/1976,334.33
7/3/1976,333.67
7/10/1976,333.43
7/17/1976,332.86
7/24/1976,332.48
7/31/1976,332.14
8/7/1976,331.73
8/14/1976,330.66
8/21/1976,330.7
8/28/1976,330.1
9/4/1976,329.76
9/11/1976,330.1
9/18/1976,329.34
9/25/1976,328.43
10/2/1976,328.86
10/9/1976,329.07
10/16/1976,329.61
10/23/1976,329.18
10/30/1976,329.04
11/6/1976,329.85
11/13/1976,330.44
11/20/1976,330.6
11/27/1976,330.71
12/4/1976,331.16
12/11/1976,331.34
12/18/1976,331.93
12/25/1976,332.21
1/1/1977,332.59
1/8/1977,332.44
1/15/1977,333.15
1/22/1977,333.25
1/29/1977,333.23
2/5/1977,333.42
2/12/1977,333.34
2/19/1977,333.46
2/26/1977,333.64
3/5/1977,334.11
3/12/1977,334.68
3/19/1977,335.12
3/26/1977,335.03
4/2/1977,335.54
4/9/1977,335.95
4/16/1977,336.02
4/23/1977,336.13
4/30/1977,336.79
5/7/1977,336.81
5/14/1977,336.48
5/21/1977,336.85
5/28/1977,336.73
6/4/1977,336.5
6/11/1977,336.32
6/18/1977,336.2
6/25/1977,336.04
7/2/1977,335.6
7/9/1977,335.11
7/16/1977,335.12
7/23/1977,334.61
7/30/1977,333.77
8/6/1977,333.02
8/13/1977,332.99
8/20/1977,332.85
8/27/1977,332.86
9/3/1977,332.18
9/10/1977,331.22
9/17/1977,332.11
9/24/1977,330.97
10/1/1977,330.46
10/8/1977,330.96
10/15/1977,331.53
10/22/1977,331.53
10/29/1977,331.75
11/5/1977,332.14
11/12/1977,332.04
11/19/1977,332.6
11/26/1977,332.86
12/3/1977,333.21
12/10/1977,333.52
12/17/1977,333.86
12/24/1977,334.26
12/31/1977,334.68
1/7/1978,334.28
1/14/1978,334.64
1/21/1978,335.47
1/28/1978,335.95
2/4/1978,335.01
2/11/1978,335.14
2/18/1978,335.67
2/25/1978,335.71
3/4/1978,336.28
3/11/1978,336.11
3/18/1978,336.81
3/25/1978,337.4
4/1/1978,337.09
4/8/1978,338
4/15/1978,337.95
4/22/1978,337.48
4/29/1978,338.06
5/6/1978,338.08
5/13/1978,338.11
5/20/1978,337.83
5/27/1978,337.91
6/3/1978,338.49
6/10/1978,338.24
6/17/1978,337.87
6/24/1978,337.4
7/1/1978,337.7
7/8/1978,336.8
7/15/1978,336.73
7/22/1978,335.96
7/29/1978,335.7
8/5/1978,335.18
8/12/1978,334.85
8/19/1978,334.42
8/26/1978,334.38
9/2/1978,333.89
9/9/1978,332.89
9/16/1978,332.2
9/23/1978,332.39
9/30/1978,332.77
10/7/1978,332.11
10/14/1978,332.46
10/21/1978,333.03
10/28/1978,333.19
11/4/1978,333.59
11/11/1978,333.86
11/18/1978,333.89
11/25/1978,334.21
12/2/1978,334.53
12/9/1978,334.81
12/16/1978,335.16
12/23/1978,335.13
12/30/1978,335.33
1/6/1979,335.37
1/13/1979,335.98
1/20/1979,336.86
1/27/1979,336.96
2/3/1979,336.91
2/10/1979,336.55
2/17/1979,336.72
2/24/1979,336.8
3/3/1979,337.13
3/10/1979,337.8
3/17/1979,337.44
3/24/1979,339.03
3/31/1979,338.81
4/7/1979,338.18
4/14/1979,338.67
4/21/1979,339.26
4/28/1979,339.61
5/5/1979,339.31
5/12/1979,338.89
5/19/1979,339.87
5/26/1979,339.63
6/2/1979,339.94
6/9/1979,339.53
6/16/1979,338.91
6/23/1979,338.96
6/30/1979,339.01
7/7/1979,338.29
7/14/1979,337.83
7/21/1979,337.38
7/28/1979,336.85
8/4/1979,337.04
8/11/1979,336.6
8/18/1979,336.19
8/25/1979,334.57
9/1/1979,334.47
9/8/1979,334.02
9/15/1979,334.22
9/22/1979,333.29
9/29/1979,334.12
10/6/1979,334.12
10/13/1979,333.98
10/20/1979,333.75
10/27/1979,334.17
11/3/1979,334.74
11/10/1979,334.87
11/17/1979,335.6
11/24/1979,335.69
12/1/1979,336
12/8/1979,336.52
12/15/1979,336.78
